,'Lettier Distance','Frechet Distance','Hausdorff Distance'
'Gravity: 1.0m(s^-2)',12.7741189989,20.948159542,9.86343687719
'Physics Steps Max: 1',0.329232644023,0.329232644023,0.329232644023
'Physics Steps Substeps: 50',19.3073641073,17.0708640308,11.3180046289
'Physics FPS: 1',218.037284056,211.287842927,205.848670021
'Logic Steps Max: 1',0.329232644023,0.329232644023,0.329232644023
'Physics Deactivation Linear Threshold: 10000.0',0.329232644023,0.329232644023,0.329232644023
'Physics Deactivation Angular Threshold: 10000.0',0.329232644023,0.329232644023,0.329232644023
'Physics Deactivation Time: 0.0',0.329232644023,0.329232644023,0.329232644023
'Occlusion Culling: False',0.329232644023,0.329232644023,0.329232644023
'Occlusion Culling Resolution: 1024',0.329232644023,0.329232644023,0.329232644023
'Material Physics: False',18.0830473811,18.0830473811,18.0830473811
'Material Physics Friction: 100.00',4.93924881608,4.94095279557,3.8109066203
'Material Physics Elasticity: 0.0',17.3874844829,17.0233755244,11.3180046289
'Force Field Force: 1.00',0.329232644023,0.329232644023,0.329232644023
'Force Field Damping: 1.00',0.329232644023,0.329232644023,0.329232644023
'Force Field Distance: 20.00',0.329232644023,0.329232644023,0.329232644023
'Force Field Align to Normal: True',0.329232644023,0.329232644023,0.329232644023
'Physics Type: Dynamic',3.55513601614,18.1217630973,3.275450812
'Actor: False',0.329232644023,0.329232644023,0.329232644023
'Ghost: True',138.489494312,138.489494312,132.02387242
'Use Material Force Field: True',0.329232644023,0.329232644023,0.329232644023
'Rotate From Normal: True',0.329232644023,0.329232644023,0.329232644023
'No Sleeping: True',0.329232644023,0.329232644023,0.329232644023
'Attributes Radius: 1cm',0.329232644023,0.329232644023,0.329232644023
'Attributes Mass: 10000.0',3.57800913743,3.30042073543,3.21534852885
'Attributes Form Factor: 0.0',3.55513601614,18.1217630973,3.275450812
'Velocity Minimum: 1.0',0.329232644023,0.329232644023,0.329232644023
'Anisotropic Friction: True',0.329232644023,0.329232644023,0.329232644023
'Velocity Maximum: 1.0',17.1034960114,17.130808295,16.8922077042
'Damping Translation: 1.0',17.9729741832,17.9729741832,17.9729741832
'Damping Rotation: 1.0',8.09457671285,5.47840838373,5.18331655137
'Collision Bounds: False',8.81773036062,17.4044978663,2.80531111777
'Collision Bounds Margin: 0m',18.740072391,9.79629223411,3.78119352088
'Collision Bounds: False',4.28865271192,4.23797419961,3.72440427516
'Launch Dynamic Object Settings Force X: 30.0',5.21169989737,5.21169989737,3.78308993247
'Launch Dynamic Object Settings Torque X: 30.0',8.82943537929,8.70403741077,6.58255281735
'Launch Dynamic Object Settings AngV X: 30.0',2.93219084728,2.63246279507,1.82341393368
'Launch Dynamic Object Settings LinV X: 0.0',19.1625050915,19.1625050915,17.0670582483
'Launch Damping Frames: -32768',0.329232644023,0.329232644023,0.329232644023
'Collision Dynamic Object Settings Force X: 30.0',5.32618850819,18.9696056987,3.80913153981
'Collision Dynamic Object Settings Torque X: 30.0',1.67496526126,1.52842619107,1.52842619107
'Collision Dynamic Object Settings LinV X: 0.0',19.2801183238,19.1535557726,3.3918725084
'Collision Dynamic Object Settings AngV X: 30.0',4.69097055763,18.7403224372,3.80913153981
'Collision Damping Frames: -32768',0.329232644023,0.329232644023,0.329232644023
'Standard: See README',0.660023956325,0.660023956325,0.660023956325
